SubjectID,SubjectName,isDeleted
1,Fondamenti di informatica e programmazione,0
2,Algoritmi e strutture dati,0
3,"HTML5, CSS3, JavaScript",0
4,"Framework front-end (React, Angular)",0
5,"Sviluppo back-end (Node.js, API REST, Database)",0
6,Cloud computing,0
7,Intelligenza artificiale applicata al web,0
8,Machine Learning e Big Data,0
9,DevOps e CI/CD,0
10,Sicurezza applicativa e protezione dati,0
11,UX/UI Design,0
12,Automazione industriale e sistemi meccatronici,0
13,Controllori PLC e robotica industriale,0
14,Sensori e attuatori,0
15,Internet of Things (IoT) per la produzione,0
16,Sistemi cyber-fisici e smart factory,0
17,Manutenzione predittiva,0
18,Analisi dei dati di produzione,0
19,Qualità e sicurezza sul lavoro,0
20,Normative e certificazioni industriali,0
21,Progettazione e integrazione macchine,0
22,Architetture di rete e sistemi operativi,0
23,Crittografia e protocolli sicuri,0
24,Sicurezza delle infrastrutture IT,0
25,Penetration testing e ethical hacking,0
26,Sicurezza applicativa e vulnerabilità web,0
27,Incident response e digital forensics,0
28,Sicurezza by design nei servizi digitali,0
29,Normative GDPR e privacy,0
30,Cloud e sicurezza dei dati,0
31,Design grafico e comunicazione visiva,0
32,User Experience (UX) e User Interface (UI),0
33,Motion graphics e animazione 2D/3D,0
34,Realtà virtuale (VR) e aumentata (AR),0
35,Produzione multimediale e video editing,0
36,Prototipazione digitale,0
37,Web design responsivo,0
38,Storytelling e comunicazione visiva,0
39,"Strumenti di design (Adobe, Blender, ecc.)",0
40,Statistica e probabilità per data science,0
41,Big Data e data warehouse,0
42,Machine Learning e Deep Learning,0
43,Data visualization e dashboarding,0
44,Analisi predittiva e modelli statistici,0
45,Etica dei dati e data governance,0
46,Business Intelligence e cloud analytics,0
47,Python per analisi dati,0
48,Fondamenti di meccanica e idraulica,0
49,Componenti e funzionamento TBM,0
50,Sistemi meccatronici per infrastrutture,0
51,Controlli automatici e sensoristica,0
52,Manutenzione e diagnostica predittiva,0
53,Sicurezza cantieri e normativa tecnica,0
54,Disegno tecnico e CAD,0
